rank	event-type	count
0	research	1289
1	studi	708
2	project	588
3	student	563
4	program	439
5	provid	372
6	investig	369
7	develop	360
8	work	345
9	univers	344
10	system	308
11	problem	307
12	model	306
13	theori	296
14	support	288
15	area	271
16	experi	264
17	structur	251
18	group	251
19	includ	250
20	undergradu	239
21	process	231
22	new	230
23	data	225
24	result	222
25	oper	220
26	such	219
27	field	212
28	import	208
29	activ	205
30	two	199
31	particip	194
32	understand	189
33	gener	189
34	continu	189
35	techniqu	188
36	involv	179
37	between	174
38	scienc	170
39	method	169
40	function	169
41	determin	164
42	inform	164
43	effect	162
44	award	160
45	propos	159
46	chemistri	157
47	relat	155
48	applic	154
49	state	154
50	well	153
51	analysi	152
52	time	151
53	design	151
54	organ	151
55	site	149
56	differ	145
57	speci	145
58	comput	145
59	institut	142
60	dynam	141
61	measur	141
62	popul	140
63	mathemat	140
64	engin	140
65	behavior	140
66	present	140
67	number	136
68	high	133
69	sever	133
70	faculti	132
71	each	131
72	both	129
73	select	129
74	dure	128
75	summer	128
76	year	127
77	object	126
78	commun	124
79	product	123
80	region	123
81	specif	122
82	through	122
83	natur	120
84	mechan	120
85	properti	119
86	goal	118
87	concern	118
88	control	117
89	under	117
90	physic	117
91	three	116
92	materi	116
93	chang	116
94	interact	116
95	equat	114
96	more	114
97	space	113
98	member	112
99	plant	112
100	interest	112
101	vessel	111
102	varieti	111
103	princip	109
104	professor	107
105	reu	106
106	set	105
107	current	104
108	base	104
109	conduct	104
110	examin	103
111	algebra	103
112	fund	102
113	level	101
114	genet	101
115	test	101
116	addit	100
117	complex	100
118	question	100
119	laboratori	100
120	mani	99
121	scientist	99
122	opportun	99
123	distribut	98
124	over	96
125	first	96
126	chemic	95
127	experiment	95
128	molecular	93
129	nation	91
130	larg	91
131	differenti	90
132	form	90
133	rang	89
134	depart	89
135	respons	88
136	period	87
137	geometri	87
138	ocean	86
139	confer	86
140	theoret	85
141	recent	85
142	increas	84
143	variou	83
144	requir	82
145	associ	82
146	solut	82
147	rate	82
148	surfac	82
149	avail	82
150	meet	82
151	nsf	81
152	type	81
153	technolog	81
154	second	81
155	minor	81
156	construct	80
157	long	80
158	establish	80
159	plan	79
160	metal	79
161	topic	78
162	equip	78
163	variabl	78
164	variat	77
165	water	77
166	network	77
167	phase	76
168	collabor	76
169	effort	76
170	part	75
171	observ	75
172	order	75
173	potenti	75
174	electron	75
175	reaction	75
176	graduat	75
177	allow	75
178	follow	74
179	scientif	74
180	within	73
181	growth	73
182	term	73
183	relationship	72
184	major	72
185	appli	72
186	optic	72
187	soil	72
188	non	72
189	estim	71
190	class	71
191	approach	71
192	success	71
193	week	71
194	small	70
195	limit	70
196	character	70
197	sampl	70
198	condit	69
199	made	69
200	focu	69
201	perform	69
202	exist	69
203	obtain	68
204	veri	67
205	local	67
206	dimension	66
207	combin	66
208	predict	66
209	sediment	66
210	biologi	66
211	pattern	65
212	improv	65
213	role	65
214	complet	65
215	ten	65
216	oceanograph	64
217	manifold	64
218	statist	64
219	integr	63
220	seri	63
221	environ	62
222	contribut	62
223	lead	62
224	cell	61
225	biolog	61
226	instrument	61
227	collect	61
228	boundari	61
229	polym	61
230	independ	61
231	compar	60
232	intern	60
233	knowledg	60
234	extens	60
235	flow	59
236	train	59
237	help	59
238	center	59
239	particular	59
240	nonlinear	58
241	direct	58
242	analyz	58
243	numer	58
244	defin	57
245	known	57
246	possibl	57
247	seminar	57
248	individu	56
249	special	56
250	evalu	56
251	american	56
252	partial	56
253	factor	55
254	advanc	55
255	ship	55
256	cooper	55
257	career	55
258	extend	54
259	resourc	54
260	atmospher	54
261	domain	54
262	out	53
263	wide	53
264	divers	53
265	point	53
266	dimens	53
267	influenc	53
268	primari	53
269	produc	53
270	languag	53
271	make	52
272	low	52
273	rel	52
274	approxim	52
275	signific	52
276	colleg	52
277	aspect	51
278	basic	51
279	case	51
280	power	51
281	size	50
282	analyt	50
283	same	50
284	ecolog	50
285	recruit	50
286	need	50
287	facil	50
288	ring	49
289	tool	49
290	foundat	49
291	highli	49
292	depend	49
293	assess	49
294	sourc	49
295	those	49
296	wai	49
297	address	49
298	particl	48
299	scatter	48
300	record	48
301	encourag	48
302	report	48
303	whether	47
304	environment	47
305	industri	47
306	discuss	47
307	sequenc	46
308	interfac	46
309	initi	46
310	host	46
311	women	46
312	characterist	45
313	fundament	45
314	emphasi	45
315	countri	45
316	grant	45
317	certain	45
318	transport	45
319	forest	45
320	occur	45
321	algorithm	45
322	workshop	45
323	map	45
324	laser	45
325	learn	45
326	carri	44
327	consid	44
328	temperatur	44
329	finit	44
330	exchang	44
331	densiti	44
332	focus	44
333	linear	44
334	further	43
335	connect	43
336	transit	43
337	wave	43
338	magnet	43
339	impact	43
340	identifi	43
341	engag	43
342	past	42
343	california	42
344	explor	42
345	held	42
346	five	42
347	analys	41
348	pacif	41
349	basi	41
350	synthesi	41
351	enhanc	41
352	place	41
353	expect	41
354	human	41
355	scale	41
356	composit	41
357	coupl	41
358	core	41
359	cours	41
360	contain	41
361	school	41
362	detail	40
363	singular	40
364	compon	40
365	dna	40
366	done	40
367	social	40
368	issu	40
369	aris	40
370	exampl	40
371	energi	40
372	modern	40
373	posit	40
374	academ	40
375	represent	40
376	manag	39
377	molecul	39
378	marin	39
379	origin	39
380	affect	39
381	repres	39
382	describ	39
383	morpholog	39
384	given	38
385	devic	38
386	physiolog	38
387	along	38
388	futur	38
389	central	38
390	capabl	38
391	enabl	38
392	final	38
393	acquir	38
394	aim	37
395	four	37
396	element	37
397	valu	37
398	phenomena	37
399	concentr	37
400	simul	37
401	random	37
402	consist	37
403	line	37
404	world	36
405	sea	36
406	excit	36
407	survei	36
408	singl	36
409	locat	36
410	north	36
411	japanes	36
412	degre	35
413	liquid	35
414	crystal	35
415	primarili	35
416	main	35
417	common	35
418	deriv	35
419	transfer	35
420	global	35
421	becom	35
422	indic	35
423	real	35
424	critic	35
425	solid	35
426	river	35
427	attempt	35
428	anim	34
429	reproduct	34
430	purpos	34
431	higher	34
432	intend	34
433	light	34
434	close	34
435	find	34
436	govern	34
437	compound	34
438	prepar	34
439	deposit	34
440	give	34
441	session	34
442	access	34
443	technic	34
444	strong	33
445	particularli	33
446	optim	33
447	remain	33
448	cultur	33
449	unit	33
450	geometr	33
451	near	32
452	around	32
453	idea	32
454	transform	32
455	relev	32
