duration-s	episode-class	frequency-measure	frequency-threshold	num-candidates	num-frequent-episodes	status	window-width	num-frequent-1-episodes	num-frequent-2-episodes	num-frequent-3-episodes	num-frequent-4-episodes	num-frequent-5-episodes	num-frequent-6-episodes	num-frequent-7-episodes	num-frequent-8-episodes	num-frequent-9-episodes	num-frequent-10-episodes	num-frequent-11-episodes	num-frequent-12-episodes	num-frequent-13-episodes	num-frequent-14-episodes	percentage-frequent-of-candidates
0.064472708999999	serial	fixed-windows	10000.0	6719	1	success	15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001488316713796696
0.072852763	serial	fixed-windows	9000.0	6722	2	success	15	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002975304968759298
0.08015298899999901	serial	fixed-windows	8100.0	6722	2	success	15	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002975304968759298
0.069521332	serial	fixed-windows	7290.0	6727	3	success	15	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0004459640255686041
0.06989144700000001	serial	fixed-windows	6561.0	6734	4	success	15	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000594000594000594
0.072865917	serial	fixed-windows	5904.0	6734	4	success	15	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000594000594000594
0.078886487999999	serial	fixed-windows	5313.0	6754	6	success	15	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0008883624518803672
0.10252802500000001	serial	fixed-windows	4781.0	6799	9	success	15	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0013237240770701574
0.12090042100000001	serial	fixed-windows	4302.0	6818	10	success	15	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0014667057788207685
0.142434993999999	serial	fixed-windows	3871.0	6914	14	success	15	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00202487706103558
0.16397725700000002	serial	fixed-windows	3483.0	7079	19	success	15	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0026839949145359516
0.251926584	serial	fixed-windows	3134.0	7294	24	success	15	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003290375651220181
0.296408373	serial	fixed-windows	2820.0	7618	31	success	15	30	1	0	0	0	0	0	0	0	0	0	0	0	0	0.004069309530060384
0.37121547400000005	serial	fixed-windows	2538.0	8165	41	success	15	38	3	0	0	0	0	0	0	0	0	0	0	0	0	0.005021432945499081
0.51063282	serial	fixed-windows	2284.0	8746	48	success	15	45	3	0	0	0	0	0	0	0	0	0	0	0	0	0.005488223187742968
0.675369144999999	serial	fixed-windows	2055.0	9857	59	success	15	56	3	0	0	0	0	0	0	0	0	0	0	0	0	0.0059855939941158565
1.062156829	serial	fixed-windows	1849.0	12053	78	success	15	73	5	0	0	0	0	0	0	0	0	0	0	0	0	0.006471417904256202
1.339278505	serial	fixed-windows	1664.0	15190	99	success	15	92	7	0	0	0	0	0	0	0	0	0	0	0	0	0.0065174456879526005
1.593693287999999	serial	fixed-windows	1497.0	17962	114	success	15	106	8	0	0	0	0	0	0	0	0	0	0	0	0	0.006346731989756152
2.187934924999999	serial	fixed-windows	1347.0	22107	135	success	15	124	11	0	0	0	0	0	0	0	0	0	0	0	0	0.006106663047903379
2.469673317	serial	fixed-windows	1212.0	26347	157	success	15	140	17	0	0	0	0	0	0	0	0	0	0	0	0	0.005958932705810908
3.328136259	serial	fixed-windows	1090.0	34637	185	success	15	167	18	0	0	0	0	0	0	0	0	0	0	0	0	0.005341109218465803
4.551373300999998	serial	fixed-windows	981.0	45565	220	success	15	197	22	1	0	0	0	0	0	0	0	0	0	0	0	0.004828267310435641
6.520700166000001	serial	fixed-windows	882.0	56937	253	success	15	224	28	1	0	0	0	0	0	0	0	0	0	0	0	0.0044435077366211774
7.302242848999995	serial	fixed-windows	793.0	71290	290	success	15	254	35	1	0	0	0	0	0	0	0	0	0	0	0	0.004067891709917239
9.556942771000003	serial	fixed-windows	713.0	89728	329	success	15	288	40	1	0	0	0	0	0	0	0	0	0	0	0	0.0036666369472182596
11.535774317000005	serial	fixed-windows	641.0	106681	374	success	15	316	54	4	0	0	0	0	0	0	0	0	0	0	0	0.00350577891095884
13.813332758000001	serial	fixed-windows	576.0	145252	453	success	15	372	74	6	1	0	0	0	0	0	0	0	0	0	0	0.00311871781455677
17.540499515999997	serial	fixed-windows	518.0	170983	520	success	15	405	105	9	1	0	0	0	0	0	0	0	0	0	0	0.0030412380178146364
20.54448218399999	serial	fixed-windows	466.0	207728	596	success	15	448	130	16	2	0	0	0	0	0	0	0	0	0	0	0.002869136563198028
26.030210776999994	serial	fixed-windows	419.0	269324	714	success	15	512	172	27	3	0	0	0	0	0	0	0	0	0	0	0.0026510819681870162
30.94148944700001	serial	fixed-windows	377.0	319888	823	success	15	559	228	32	4	0	0	0	0	0	0	0	0	0	0	0.0025727754714149954
37.46111500800001	serial	fixed-windows	339.0	381002	957	success	15	611	292	42	10	2	0	0	0	0	0	0	0	0	0	0.0025117978383315575
41.041430316	serial	fixed-windows	305.0	443694	1110	success	15	660	367	66	14	3	0	0	0	0	0	0	0	0	0	0.0025017241612462645
44.986936732000004	serial	fixed-windows	274.0	526919	1298	success	15	720	454	94	23	6	1	0	0	0	0	0	0	0	0	0.002463376723936696
58.242171729999995	serial	fixed-windows	246.0	654086	1582	success	15	803	576	148	43	11	1	0	0	0	0	0	0	0	0	0.0024186421968976557
68.14813952200001	serial	fixed-windows	221.0	788111	1924	timeout	15	882	715	226	74	23	4	0	0	0	0	0	0	0	0	0.002441280479526361
