(stepan,arkadyevitch)           : 0,998 1096  
(alexei,alexandrovitch)         : 0,950 1203  
(sergei,ivanovitch)             : 0,965 603   
(agafea,mihalovna)              : 1,000 148   
(darya,alexandrovna)            : 0,967 424   
(_char,banc_)                   : 1,000 14    
(pinc,nez)                      : 1,000 12    
(_bell,soeur_)                  : 1,000 10    
(lidia,ivanovna)                : 0,977 221   
(lizaveta,petrovna)             : 0,980 49    
(nativ,tribe)                   : 0,966 29    
(mashkin,upland)                : 0,833 12    
(grand,duchess)                 : 0,714 14    
(liza,merkalova)                : 0,706 34    
(marya,nikolaevna)              : 0,673 98    
(countess,lidia,ivanovna)       : 0,586 389   
(plight,troth)                  : 0,615 13    
(vassili,lukitch)               : 0,588 51    
(countess,lidia)                : 0,557 280   
(countess,ivanovna)             : 0,549 277   
(madam,stahl)                   : 0,550 171   
(panic,stricken)                : 0,563 32    
(swollen,vein)                  : 0,556 18    
(mademoisel,linon)              : 0,516 31    
(frou,frou)                     : 0,500 88    
(bridal,pair)                   : 0,500 20    
(data,soil)                     : 0,500 12    
(hind,quarter)                  : 0,462 26    
(nadinka,niec)                  : 0,455 11    
(alexand,nevski)                : 0,444 27    
(repair,harrow)                 : 0,444 18    
(corp,page)                     : 0,435 23    
(madam,karenina)                : 0,414 162   
(marshal,provinc)               : 0,419 105   
(fur,cloak)                     : 0,425 40    
(konstantin,dmitrievitch)       : 0,390 159   
(mihail,vassilievitch)          : 0,400 30    
(grand,duchess,helmet)          : 0,400 25    
(wag,tail)                      : 0,400 20    
(muslin,garment)                : 0,400 10    
(climb,steep)                   : 0,400 10    
(pistol,weapon)                 : 0,400 10    
(roast,beef)                    : 0,400 10    
(matrona,philimonovna)          : 0,381 21    
(bill,fare)                     : 0,381 21    
(est,pa)                        : 0,378 37    
(knit,brow)                     : 0,370 54    
(great,deal)                    : 0,346 292   
(storm,cloud)                   : 0,364 44    
(lodg,complaint)                : 0,364 22    
(platon,tragedi)                : 0,364 11    
(lightn,thunder)                : 0,364 11    
(cucumb,honei)                  : 0,364 11    
(turk,beaten)                   : 0,353 17    
(rustl,skirt)                   : 0,345 29    
(hall,porter)                   : 0,328 128   
(draw,room)                     : 0,281 583   
(infinit,space)                 : 0,333 21    
(harrow,repair)                 : 0,333 18    
(fuss,bustl)                    : 0,333 12    
(gallant,token)                 : 0,333 12    
(vast,unoccupi)                 : 0,333 12    
(enoch,enoch)                   : 0,333 12    
(tragedi,tragedi)               : 0,333 12    
(mention,name)                  : 0,316 38    
(district,council)              : 0,312 77    
(rye,beer)                      : 0,316 19    
(hasti,retreat)                 : 0,316 19    
(vassenka,veslovski)            : 0,297 175   
(miracl,miracl)                 : 0,313 16    
(hawk,hover)                    : 0,308 13    
(mechan,facil)                  : 0,308 13    
(_il,fait)                      : 0,308 13    
(_la,ce)                        : 0,308 13    
(fantasia,king)                 : 0,308 13    
(grai,whisker)                  : 0,297 74    
(unbutton,waistcoat)            : 0,300 20    
(ami,ami)                       : 0,300 10    
(beef,eaten)                    : 0,300 10    
(sh,sh)                         : 0,300 10    
(board,irrig)                   : 0,296 27    
(lean,elbow)                    : 0,290 62    
(butter,salt)                   : 0,294 17    
