(stepan,arkadyevitch)           : 0,998 1096  
(alexei,alexandrovitch)         : 0,950 1203  
(sergei,ivanovitch)             : 0,967 603   
(agafea,mihalovna)              : 1,000 148   
(darya,alexandrovna)            : 0,967 424   
(_char,banc_)                   : 1,000 14    
(pinc,nez)                      : 1,000 12    
(_bell,soeur_)                  : 1,000 10    
(lidia,ivanovna)                : 0,977 221   
(lizaveta,petrovna)             : 0,980 49    
(nativ,tribe)                   : 0,966 29    
(mashkin,upland)                : 0,833 12    
(grand,duchess)                 : 0,714 14    
(liza,merkalova)                : 0,706 34    
(marya,nikolaevna)              : 0,673 98    
(countess,lidia,ivanovna)       : 0,602 389   
(plight,troth)                  : 0,615 13    
(vassili,lukitch)               : 0,588 51    
(countess,lidia)                : 0,557 280   
(countess,ivanovna)             : 0,549 277   
(madam,stahl)                   : 0,550 171   
(panic,stricken)                : 0,563 32    
(swollen,vein)                  : 0,556 18    
(grand,duchess,helmet)          : 0,520 25    
(mademoisel,linon)              : 0,516 31    
(frou,frou)                     : 0,500 88    
(bridal,pair)                   : 0,500 20    
(tragedi,tragedi)               : 0,500 12    
(data,soil)                     : 0,500 12    
(hind,quarter)                  : 0,462 26    
(nadinka,niec)                  : 0,455 11    
(fur,cloak)                     : 0,450 40    
(alexand,nevski)                : 0,444 27    
(harrow,repair)                 : 0,444 18    
(repair,harrow)                 : 0,444 18    
(duchess,helmet)                : 0,438 16    
(corp,page)                     : 0,435 23    
(madam,karenina)                : 0,414 162   
(marshal,provinc)               : 0,419 105   
(thi,thi)                       : 0,417 24    
(evolut,etern)                  : 0,417 12    
(est,pa)                        : 0,405 37    
(konstantin,dmitrievitch)       : 0,390 159   
(mihail,vassilievitch)          : 0,400 30    
(wag,tail)                      : 0,400 20    
(unbutton,waistcoat)            : 0,400 20    
(roast,beef)                    : 0,400 10    
(pistol,weapon)                 : 0,400 10    
(muslin,garment)                : 0,400 10    
(climb,steep)                   : 0,400 10    
(storm,cloud)                   : 0,386 44    
