rank	event-type	count
0	levin	1629
1	vronski	865
2	anna	823
3	kitti	672
4	thought	663
5	time	651
6	hand	651
7	smile	632
8	alexei	632
9	face	598
10	love	595
11	alexandrovitch	571
12	ey	570
13	man	565
14	feel	561
15	felt	555
16	don	553
17	stepan	548
18	arkadyevitch	548
19	good	507
20	talk	483
21	life	461
22	room	455
23	long	436
24	answer	433
25	dai	431
26	wife	416
27	made	406
28	thing	405
29	make	401
30	turn	396
31	put	391
32	knew	390
33	word	389
34	began	365
35	back	359
36	posit	358
37	brother	347
38	husband	345
39	work	345
40	peopl	340
41	look	336
42	princess	328
43	ask	325
44	head	315
45	dolli	307
46	understand	307
47	ivanovitch	302
48	sergei	301
49	question	300
50	live	291
51	express	291
52	heart	284
53	happi	280
54	walk	270
55	told	261
56	give	260
57	mother	258
58	round	258
59	heard	254
60	interest	250
61	convers	249
62	children	245
63	speak	244
64	peasant	242
65	chapter	241
66	moment	236
67	call	232
68	hous	227
69	left	227
70	voic	222
71	home	221
72	alexandrovna	215
73	hors	215
74	great	209
75	darya	209
76	young	208
77	step	206
78	woman	205
79	carriag	204
80	door	204
81	glanc	202
82	friend	201
83	men	199
84	meet	199
85	point	198
86	tabl	196
87	sit	195
88	read	193
89	mind	191
90	side	190
91	part	189
92	pass	189
93	take	186
94	want	186
95	simpli	186
96	idea	185
97	open	184
98	come	183
99	care	182
100	light	182
101	place	182
102	god	182
103	stand	182
104	find	180
105	princ	179
106	move	179
107	dress	178
108	glad	177
109	set	175
110	think	175
111	suddenli	173
112	moscow	173
113	chang	171
114	wait	170
115	doctor	170
116	rememb	169
117	stop	168
118	countess	168
119	sat	167
120	delight	166
121	son	162
122	year	160
123	mean	159
124	expect	159
125	begin	157
126	gave	156
127	brought	155
128	dinner	154
129	varenka	154
130	won	153
131	listen	153
132	show	152
133	found	151
134	ladi	151
135	matter	150
136	sort	149
137	letter	149
138	hear	149
139	girl	147
140	minut	146
141	world	145
142	met	144
143	end	143
144	leav	141
145	marri	141
146	sviazhski	140
147	notic	138
148	relat	138
149	father	137
150	white	137
151	sister	136
152	child	136
153	women	134
154	person	133
155	arm	132
156	tear	131
157	readi	131
158	laugh	131
159	even	131
160	natur	130
161	stood	130
162	stai	130
163	draw	128
164	fact	128
165	ad	128
166	petersburg	128
167	countri	128
168	oblonski	127
169	spite	124
170	madam	123
171	famili	122
172	seryozha	122
173	repeat	121
174	view	118
175	hope	118
176	import	118
177	complet	117
178	busi	117
179	kiss	117
180	ah	116
181	order	116
182	land	116
183	labor	116
184	subject	115
185	doubt	115
186	suffer	115
187	half	115
188	imposs	113
189	close	113
190	morn	112
191	happen	112
192	societi	112
193	konstantin	112
194	book	112
195	lidia	112
196	betsi	111
197	sens	110
198	_	110
199	veslovski	110
200	gener	109
201	afraid	109
202	sound	109
203	pictur	109
204	ivanovna	109
205	instant	108
206	tone	107
207	law	107
208	soul	107
209	lip	106
210	fanci	106
211	strang	106
212	ill	105
213	forgiv	104
214	desir	104
215	race	104
216	full	103
217	nurs	103
218	monei	103
219	didn	103
220	condit	103
221	ran	102
222	high	102
223	figur	102
224	death	102
225	russian	102
226	suppos	101
227	hair	101
228	lai	101
229	divorc	101
230	count	100
231	imagin	99
232	clear	99
233	finish	99
234	immedi	99
235	recal	98
236	night	98
237	note	97
238	run	97
239	receiv	97
240	reach	97
241	carri	96
242	nice	96
243	forc	96
244	nikolai	96
245	write	96
246	short	95
247	todai	95
248	true	94
249	cut	94
250	daughter	94
251	drop	93
252	wrong	93
253	hold	93
254	drive	93
255	excit	92
256	leg	91
257	watch	91
258	piti	91
259	boi	91
260	straight	91
261	meant	91
262	studi	90
263	understood	90
264	gaze	90
265	continu	90
266	present	89
267	hat	89
268	explain	89
269	attent	88
270	coat	88
271	drink	88
272	shout	88
273	acquaint	88
274	special	87
275	opinion	87
276	parti	87
277	direct	87
278	babi	87
279	glass	86
280	aw	86
281	fell	86
282	quickli	86
283	forget	85
284	peac	85
285	duti	85
286	red	85
287	late	85
288	hour	84
289	utterli	84
290	offic	83
291	awar	83
292	thousand	83
293	water	83
294	blame	82
295	sight	82
296	appear	82
297	arriv	82
298	shoulder	82
299	address	82
300	cold	82
301	french	81
302	cover	81
303	pleasur	81
304	know	81
305	arrang	81
306	impress	81
307	exist	81
308	window	80
309	reason	80
310	past	79
311	touch	79
312	start	79
313	katavasov	79
314	till	78
315	bring	78
316	drove	78
317	rest	78
318	act	78
319	sleep	77
320	humor	77
321	learn	77
322	effort	77
323	decid	76
324	beg	75
325	refus	75
326	cri	75
327	chair	75
328	fellow	75
329	agre	75
330	spring	75
331	settl	75
332	finger	74
333	tea	74
334	agafea	74
335	mihalovna	74
336	clock	73
337	case	73
338	tomorrow	73
339	big	73
340	yesterdai	73
341	memori	73
342	send	73
343	gentleman	73
344	shame	72
345	fresh	72
346	respect	72
347	public	72
348	promis	72
349	pain	71
350	bad	71
351	tender	71
352	servant	71
353	shtcherbatski	71
354	return	71
355	grass	71
356	truth	70
357	dine	70
358	ground	70
359	utter	70
360	directli	70
361	wish	70
362	observ	70
363	black	69
364	troubl	69
365	chief	69
366	form	69
367	offer	69
368	shoot	69
369	sick	69
370	yashvin	69
371	bow	68
372	beauti	68
373	struck	68
374	avoid	68
375	cross	68
376	stiva	67
377	simpl	67
378	fear	67
379	movement	67
380	bed	67
381	golenishtchev	67
382	unhappi	66
383	air	66
384	pull	66
385	hate	66
386	honor	66
387	hundr	66
388	porter	66
389	english	65
390	enter	65
391	box	65
392	rose	65
393	lost	65
394	silenc	65
395	ball	65
396	educ	65
397	marya	65
398	vassenka	65
399	detail	64
400	prepar	64
401	blush	64
402	recogn	64
403	angri	64
404	sake	64
405	drew	64
406	karenin	64
407	evid	64
408	believ	64
409	dream	63
410	remain	63
411	servic	63
412	train	63
413	neck	63
414	crowd	63
415	humili	63
416	paper	62
417	master	62
418	extrem	62
419	contrari	62
420	wors	62
421	charm	62
422	whisper	62
423	hall	62
424	abroad	62
425	affair	61
426	difficulti	61
427	flush	61
428	plai	61
429	offici	61
430	intent	61
431	church	61
432	fashion	60
433	deal	60
434	despair	60
435	silent	60
436	ly	60
437	terribl	60
438	sweet	60
439	interrupt	60
440	school	60
441	paint	60
442	spirit	60
443	dark	60
444	usual	59
445	worri	59
446	caught	59
447	repli	59
448	lift	59
449	pleas	59
450	press	59
451	tree	59
452	coachman	58
453	held	58
454	passion	58
455	admit	58
456	ring	58
457	asham	58
458	splendid	58
459	bear	58
460	wonder	58
461	mow	58
462	manag	57
463	arkadyevna	57
464	russia	57
465	hast	57
466	low	57
467	visitor	57
468	doesn	57
469	horror	56
