duration-s	episode-class	frequency-measure	frequency-threshold	num-candidates	num-frequent-episodes	status	window-width	num-frequent-1-episodes	num-frequent-2-episodes	num-frequent-3-episodes	num-frequent-4-episodes	num-frequent-5-episodes	num-frequent-6-episodes	duration-rules-0.0	num-confident-rules-0.0	percentage-frequent-of-candidates
0.096982404999991	parallel	minimal-windows	1334.0	8051	1	success	15	1	0	0	0	0	0	3.4700000099974204e-06	0	0.00012420817289777666
0.09640884699999201	parallel	minimal-windows	1000.0	8051	1	success	15	1	0	0	0	0	0	3.285999994773192e-06	0	0.00012420817289777666
0.103660665999996	parallel	minimal-windows	750.0	8056	3	success	15	3	0	0	0	0	0	4.626000006169306e-06	0	0.0003723932472691162
0.13888304699999302	parallel	minimal-windows	562.0	8155	15	success	15	14	1	0	0	0	0	3.605200001288722e-05	2	0.0018393623543838135
0.21948220699999801	parallel	minimal-windows	421.0	8401	28	success	15	26	2	0	0	0	0	4.640100002006875e-05	4	0.0033329365551720033
0.40955779399999404	parallel	minimal-windows	315.0	9086	48	success	15	45	3	0	0	0	0	7.073999998397085e-05	5	0.005282852740479859
0.655277207000011	parallel	minimal-windows	236.0	10329	71	success	15	67	4	0	0	0	0	8.989500000211592e-05	7	0.006873850324329558
1.199255483999991	parallel	minimal-windows	177.0	14052	120	success	15	109	10	1	0	0	0	0.0002120590000060929	24	0.008539709649871904
1.9728860209999932	parallel	minimal-windows	132.0	20318	180	success	15	156	23	1	0	0	0	0.0003858210000089457	47	0.008859139679102275
3.656117518000002	parallel	minimal-windows	99.0	35846	294	success	15	235	53	5	1	0	0	0.0008358380000004217	130	0.008201751938849523
6.555726977999996	parallel	minimal-windows	74.0	64917	483	success	15	336	134	11	2	0	0	0.001739102999977149	322	0.007440269883081474
12.207254503000001	parallel	minimal-windows	55.0	126968	837	success	15	485	320	28	4	0	0	0.003936296000006223	805	0.006592212210950791
19.51599799799999	parallel	minimal-windows	41.0	219100	1386	success	15	644	673	63	6	0	0	0.007415199000007533	1705	0.006325878594249201
33.065401511999994	parallel	minimal-windows	30.0	414894	2365	success	15	891	1325	134	14	1	0	0.013987677000017129	3501	0.005700251148486119
55.28106509	parallel	minimal-windows	22.0	762901	4068	success	15	1209	2537	301	18	3	0	0.025984171999994032	6885	0.005332277713622082
92.52075110599998	parallel	minimal-windows	16.0	1281164	7182	timeout	15	1559	4852	716	50	5	0	0.05124289200000476	14159	0.005605839689532332
