rank	event-type	count
0	184	27
1	1201	26
2	38	25
3	1185	25
4	39	25
5	1199	24
6	183	24
7	194	23
8	1192	23
9	849	22
10	829	22
11	77	22
12	618	22
13	279	22
14	186	22
15	204	22
16	185	22
17	793	21
18	187	21
19	1194	21
20	640	21
21	92	21
22	635	21
23	1174	21
24	261	21
25	400	21
26	1171	21
27	724	21
28	195	20
29	1202	20
30	58	20
31	744	20
32	1177	20
33	280	20
34	1188	20
35	416	20
36	943	20
37	1051	20
38	1064	20
39	1041	20
40	365	20
41	93	20
42	794	20
43	1190	20
44	1068	20
45	383	20
46	25	20
47	85	20
48	102	20
49	858	20
50	1173	19
51	617	19
52	297	19
53	223	19
54	305	19
55	190	19
56	1176	19
57	692	19
58	564	19
59	654	19
60	706	19
61	1052	19
62	1010	19
63	435	19
64	166	19
65	1019	19
66	812	19
67	762	19
68	1044	19
69	1015	19
70	940	19
71	262	19
72	296	19
73	1057	19
74	188	18
75	1183	18
76	76	18
77	548	18
78	66	18
79	1184	18
80	1046	18
81	24	18
82	848	18
83	382	18
84	1018	18
85	57	18
86	333	18
87	315	18
88	599	18
89	1011	18
90	1012	18
91	1033	18
92	1058	18
93	149	18
94	655	18
95	1020	18
96	726	18
97	803	18
98	547	18
99	779	18
100	1108	18
101	324	18
102	241	17
103	743	17
104	417	17
105	1196	17
106	1200	17
107	196	17
108	1189	17
109	1180	17
110	225	17
111	1050	17
112	165	17
113	1061	17
114	1023	17
115	939	17
116	672	17
117	992	17
118	1037	17
119	1026	17
120	1066	17
121	488	17
122	112	17
123	725	17
124	850	17
125	42	17
126	1070	17
127	681	17
128	1181	17
129	644	17
130	1123	17
131	976	17
132	350	17
133	373	17
134	626	17
135	1001	17
136	1135	16
137	1195	16
138	272	16
139	227	16
140	303	16
141	103	16
142	1162	16
143	747	16
144	192	16
145	392	16
146	1027	16
147	1062	16
148	1047	16
149	349	16
150	960	16
151	14	16
152	895	16
153	1167	16
154	913	16
155	583	16
156	1053	16
157	1048	16
158	673	16
159	830	16
160	171	16
161	715	16
162	1074	16
163	1130	16
164	645	16
165	1045	16
166	820	16
167	906	16
168	224	15
169	391	15
170	67	15
171	95	15
172	244	15
173	639	15
174	707	15
175	232	15
176	426	15
177	111	15
178	1136	15
179	1039	15
180	896	15
181	795	15
182	1214	15
183	1170	15
184	963	15
185	323	15
186	101	15
187	1128	15
188	1077	15
189	821	15
190	306	15
191	358	15
192	141	15
193	47	15
194	636	14
195	316	14
