count	time
1	1484055
2	1486574
3	1487481
4	1487575
5	1487836
6	1487983
7	1488346
8	1489939
9	1490452
10	1490561
11	1490734
12	1491136
13	1491276
14	1491453
15	1491649
16	1491687
17	1491706
18	1491910
19	1492130
20	1492649
21	1493228
22	1493407
23	1494242
24	1494318
25	1494663
26	1496343
27	1497672
28	1497827
29	1498755
30	1499480
31	1499565
32	1499636
33	1499974
34	1500101
35	1500229
36	1500400
37	1501273
38	1501595
39	1501734
40	1508582
41	1508963
42	1509176
43	1510698
44	1510848
45	1512005
46	1512293
47	1513135
48	1513312
49	1513581
50	1516194
51	1517921
52	1518427
53	1519493
54	1524054
55	1524797
56	1525003
57	1525197
58	1526394
59	1526574
60	1527531
61	1527613
62	1529463
63	1529764
64	1529820
65	1531332
66	1533323
67	1535008
68	1535498
69	1535865
70	1536265
71	1536900
72	1537552
73	1537651
74	1537844
75	1538140
76	1538435
77	1539262
78	1539408
79	1539594
80	1539729
81	1539832
82	1540477
83	1540480
84	1541310
85	1541880
86	1544311
87	1544885
88	1546075
89	1546277
90	1548941
91	1549586
92	1550844
93	1558950
94	1571167
95	1572261
96	1573022
97	1573240
98	1573442
99	1575189
100	1576201
101	1576542
102	1576765
103	1576905
104	1578491
105	1578970
106	1579083
107	1579140
108	1579256
109	1579434
110	1579486
111	1579650
112	1579853
113	1580136
114	1580545
115	1581008
116	1583067
117	1583259
118	1583436
119	1584313
120	1584586
121	1584741
122	1586433
123	1586685
124	1587798
125	1588262
126	1588892
127	1589838
128	1590475
129	1590752
130	1590946
131	1593874
132	1594661
133	1595985
134	1597070
135	1597611
136	1597729
137	1597793
138	1598624
139	1598711
140	1600356
141	1600548
142	1600998
143	1601007
144	1601065
145	1601159
146	1601277
147	1601416
148	1601470
149	1602203
150	1604132
151	1604194
152	1604328
153	1604494
154	1604621
155	1604623
156	1604923
157	1605007
158	1606185
159	1606328
160	1606813
161	1607516
162	1609369
163	1611244
164	1611610
165	1612000
166	1612225
167	1613123
168	1613177
169	1614269
170	1615479
171	1616464
172	1617074
173	1618693
174	1618874
175	1619434
176	1619467
177	1620254
178	1620947
179	1621188
180	1621546
181	1622235
182	1622665
183	1623015
184	1623732
185	1623890
186	1623905
187	1624151
188	1624443
189	1624620
190	1624843
191	1625478
192	1625807
193	1626155
194	1627026
195	1627378
196	1628496
197	1629270
198	1629478
199	1629571
200	1629893
201	1629895
202	1629912
203	1630187
204	1630218
205	1630235
206	1630983
207	1631136
208	1631520
209	1631888
210	1632142
211	1632378
212	1633442
213	1633601
214	1634118
215	1634429
216	1635126
217	1635594
218	1636412
219	1636662
220	1659335
221	1659662
222	1659673
223	1661399
224	1663456
225	1663476
226	1664218
227	1664572
228	1665341
229	1665544
230	1665837
231	1666528
232	1667042
233	1667073
234	1668742
235	1668804
236	1669410
237	1670810
238	1671222
239	1673687
240	1674197
241	1676055
242	1676411
243	1676899
244	1677402
245	1677543
246	1678120
247	1680372
248	1680952
249	1681252
250	1683154
251	1683267
252	1683388
253	1683534
254	1683592
255	1683622
256	1683741
257	1683870
258	1684282
259	1684448
260	1684848
261	1685034
262	1686866
263	1687682
264	1688100
265	1688676
266	1689238
267	1689808
268	1690479
269	1691257
270	1691733
271	1691891
272	1692071
273	1692801
274	1694820
275	1695006
276	1695382
277	1695696
278	1696355
279	1698321
280	1698917
281	1699091
282	1699472
283	1699837
284	1700510
285	1701364
286	1701365
287	1702088
288	1702117
289	1702698
290	1702914
291	1703080
292	1703436
293	1704062
294	1704574
295	1705437
296	1705652
